transaction_date,total_transactions,fraud_transactions,fraud_rate
2024-06-23,972,19,0.0195
2024-06-24,993,30,0.0302
2024-06-25,989,15,0.0152
2024-06-26,976,23,0.0236
2024-06-27,997,21,0.0211
2024-06-28,1031,24,0.0233
2024-06-29,911,24,0.0263
2024-06-30,947,24,0.0253
2024-07-01,1002,19,0.019
2024-07-02,1013,18,0.0178
2024-07-03,1023,23,0.0225
2024-07-04,975,17,0.0174
2024-07-05,949,13,0.0137
2024-07-06,957,27,0.0282
2024-07-07,994,19,0.0191
2024-07-08,950,17,0.0179
2024-07-09,980,21,0.0214
2024-07-10,985,22,0.0223
2024-07-11,941,28,0.0298
2024-07-12,953,25,0.0262
2024-07-13,954,16,0.0168
2024-07-14,992,21,0.0212
2024-07-15,963,20,0.0208
2024-07-16,1027,21,0.0204
2024-07-17,991,22,0.0222
2024-07-18,980,18,0.0184
2024-07-19,978,17,0.0174
2024-07-20,957,13,0.0136
2024-07-21,959,23,0.024
2024-07-22,990,27,0.0273
2024-07-23,949,19,0.02
2024-07-24,975,27,0.0277
2024-07-25,952,22,0.0231
2024-07-26,914,22,0.0241
2024-07-27,1002,20,0.02
2024-07-28,927,18,0.0194
2024-07-29,1010,23,0.0228
2024-07-30,997,29,0.0291
2024-07-31,974,22,0.0226
2024-08-01,955,20,0.0209
2024-08-02,961,13,0.0135
2024-08-03,996,14,0.0141
2024-08-04,1005,22,0.0219
2024-08-05,940,21,0.0223
2024-08-06,987,21,0.0213
2024-08-07,976,19,0.0195
2024-08-08,962,27,0.0281
2024-08-09,950,16,0.0168
2024-08-10,1001,20,0.02
2024-08-11,989,25,0.0253
2024-08-12,998,18,0.018
2024-08-13,956,18,0.0188
2024-08-14,969,25,0.0258
2024-08-15,993,21,0.0211
2024-08-16,963,21,0.0218
2024-08-17,981,24,0.0245
2024-08-18,970,17,0.0175
2024-08-19,1007,20,0.0199
2024-08-20,1031,20,0.0194
2024-08-21,946,25,0.0264
2024-08-22,979,24,0.0245
2024-08-23,968,21,0.0217
2024-08-24,1014,23,0.0227
2024-08-25,942,19,0.0202
2024-08-26,1026,16,0.0156
2024-08-27,968,19,0.0196
2024-08-28,1004,19,0.0189
2024-08-29,981,23,0.0234
2024-08-30,1038,23,0.0222
2024-08-31,934,35,0.0375
2024-09-01,935,24,0.0257
2024-09-02,1014,19,0.0187
2024-09-03,1018,23,0.0226
2024-09-04,989,26,0.0263
2024-09-05,1037,27,0.026
2024-09-06,1016,26,0.0256
2024-09-07,996,22,0.0221
2024-09-08,979,18,0.0184
2024-09-09,1021,28,0.0274
2024-09-10,997,27,0.0271
2024-09-11,976,19,0.0195
2024-09-12,997,18,0.0181
2024-09-13,1015,24,0.0236
2024-09-14,1050,15,0.0143
2024-09-15,953,24,0.0252
2024-09-16,991,16,0.0161
2024-09-17,984,21,0.0213
2024-09-18,987,16,0.0162
2024-09-19,973,25,0.0257
2024-09-20,920,25,0.0272
2024-09-21,1046,24,0.0229
2024-09-22,953,24,0.0252
2024-09-23,1011,22,0.0218
2024-09-24,991,18,0.0182
2024-09-25,950,12,0.0126
2024-09-26,995,28,0.0281
2024-09-27,985,20,0.0203
2024-09-28,1045,16,0.0153
2024-09-29,1005,23,0.0229
2024-09-30,1004,18,0.0179
2024-10-01,963,23,0.0239
2024-10-02,981,21,0.0214
2024-10-03,1013,24,0.0237
2024-10-04,989,20,0.0202
2024-10-05,972,17,0.0175
2024-10-06,974,19,0.0195
2024-10-07,980,21,0.0214
2024-10-08,951,27,0.0284
2024-10-09,990,24,0.0242
2024-10-10,959,19,0.0198
2024-10-11,1000,18,0.018
2024-10-12,1020,18,0.0176
2024-10-13,994,30,0.0302
2024-10-14,994,25,0.0252
2024-10-15,981,17,0.0173
2024-10-16,972,21,0.0216
2024-10-17,973,21,0.0216
2024-10-18,990,15,0.0152
2024-10-19,943,19,0.0201
2024-10-20,960,15,0.0156
2024-10-21,1022,15,0.0147
2024-10-22,968,16,0.0165
2024-10-23,946,30,0.0317
2024-10-24,979,22,0.0225
2024-10-25,998,25,0.0251
2024-10-26,954,21,0.022
2024-10-27,959,22,0.0229
2024-10-28,972,26,0.0267
2024-10-29,1025,25,0.0244
2024-10-30,992,31,0.0313
2024-10-31,947,25,0.0264
